"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"N1 être Vpp par N0";"binary";"N1 être Vpp par N0";;", 10, 11, 13, 15";"Passivization with agent introduced by the preposition par; other objects are not preserved; if N1 is a prepositional object, it becomes the passive subject without its preposition";"Tous détestent Paul = Paul est détesté par tous ; Tous ont discuté de ce problème = Ce problème a été discuté par tous";"Passivation avec complément d'agent introduit par la préposition par ; les autres objets ne sont pas conservés ; si N1 est un objet indirect, il devient sujet passif sans sa préposition"
"N1 être Vpp par N0 à ce Qu P";"binary";"N1 être Vpp par N0 à ce Qu P";;", 11";"Passivization with agent introduced by the preposition par; an object à ce Qu P is preserved";"Paul a été encouragé par tous à faire ça";"Passivation avec complément d'agent introduit par la préposition par ; l'objet à ce Qu P est conservé"
"N1 être Vpp par N0 de ce Qu P";"binary";"N1 être Vpp par N0 de ce Qu P";;", 13";"Passivization with agent introduced by the preposition par; an object de ce Qu P is preserved";"Paul a été hué par la foule d'avoir fait ça";"Passivation avec complément d'agent introduit par la préposition par ; l'objet de ce Qu P est conservé"
"N1 être Vpp par N0 Prép N2";"binary";"N1 être Vpp par N0 Prép N2";;", 10, 15";"Passivization with agent introduced by the preposition par; an object Prép N2 is preserved; if N1 is a prepositional object, it becomes the passive subject without its preposition";"Tous ont lu la nouvelle dans le journal = La nouvelle a été lue par tous dans le journal ; Tous ont attesté de ce fait auprès des enquêteurs = Ce fait a été attesté par tous auprès des enquêteurs";"Passivation avec complément d'agent introduit par la préposition par ; l'objet Prép N2 est conservé ; si N1 est un objet indirect, il devient sujet passif sans sa préposition"
"N1 être Vpp W";"binary";"N1 est Vpp W";;", 32C, 32CV, 32PL, 32R1, 32R2, 32R3, 32RA, 36R, 38PL, 38R";"Passivization without agent; prepositional objects, if any, are preserved; the sentence is acceptable in the present tense and interpreted as a static result ";"Le mot chien est traduit par le mot dog ; Ce pain est grillé (cf. *Cet oeuf est gobé)";"Passivation sans complément d'agent ; les compléments indirects éventuels sont conservés ; la phrase est acceptable au présent et interprétée comme un résultat statique du procès"
"N1 lieu de destination de N0";"binary";"N1 destination";" ";", 38L1";"An object N1 is interpreted as a destination of the referent of N0. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Max atteint le sommet";"L'objet N1 est interprété comme lieu de destination du référent de N0. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N1 lieu de destination de N2";"binary";"N1 destination";;" ";"An object N1 is interpreted as a destination of the referent of N2. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Luc sale le rôti de sel fin";"L'objet N1 est interprété comme lieu de destination du référent de N2. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N1 lieu de passage de N0";"binary";"N1 lieu du passage";;", 38L1";"An object N1 is interpreted as a place where the referent of the subject passes; the sentence is interpreted with a punctual aspect";"Le car emprunte l'avenue";"L'objet N1 est interprété comme un lieu par lequel passe le référent du sujet ; la phrase est interprétée avec un aspect ponctuel"
"N1 lieu source de N0";"binary";"N1 source";;", 38L1";"An object N1 is interpreted as the source of the referent of N0. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"L'ennemi abandonne la ville";"L'objet N1 est interprété comme lieu source du référent de N0. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N1 lieu source de N2";"binary";"N1 source";;" ";"An object N1 is interpreted as the source of the referent of N2. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Max cure le puits de sa vase";"L'objet N1 est interprété comme lieu source du référent de N2. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N1 lieu statique de N0";"binary";"N1 lieu du procès";;", 38L1";"An object N1 is interpreted as a place where the referent of the subject is before, during and after the process. The criterion to be applied is that of support sentences as in Boons et al. (1976:205) and in Guillet et Leclère (1992:22)";"Léa arpente le boulevard";"L'objet N1 est interprété comme un lieu où se situe le référent du sujet avant, pendant et après le procès. Le critère appliqué est celui des phrases-supports exposé dans Boons et al. (1976:205) et dans Guillet et Leclère (1992:22)"
"N1 se V (neutre)";"binary";"N1 se V";;", 32D, 32C";"An object N1 can become the subject of a sentence with a pronominal verb and no other objects; the reflexive clitic is in the accusative; the sentence is not the result of the clitic pronominalization of an object N1 coreferent to N0; the sentence does not imply the existence of a human agent; the sentence denotes a datable event (neutral construction in the sense of Nicolas Ruwet, 1972)";"Le choc a ankylosé son bras = Son bras s'ankylose (as opposed to: On entretient cette voiture facilement = Cette voiture s'entretient facilement)";"L'objet N1 peut devenir le sujet d'une phrase avec un verbe pronominal et sans autres objets ; le pronom préverbal réfléchi est à l'accusatif ; la phrase n'est pas le résultat de la pronominalisation de l'objet N1 coréférent à N0 ; la phrase n'implique pas l'existence d'un agent humain; la phrase dénote un événement datable (construction neutre au sens de Nicolas Ruwet, 1972)"
"N1 se V auprès de N3hum de ce Qu P";"binary";"N1 se V auprès de N de ce Qu P
N1 se V auprès de N3 de ce Qu P";"N1 se V auprès de Nhum de ce Qu P";", 4, 13";"An object N1 denoting a person can become the subject of a sentence with a pronominal verb, an object of the form de ce que P, which is either N0 or N2, and an additional object of the form auprès de N3, denoting a person; the sentence implies a verbal communication between the two persons; the reflexive clitic is in the accusative";"Que Léa ne soit pas venue attriste Paul = Paul s'attriste auprès de Marie de ce que Léa ne soit pas venue ; Quelque chose réconforte Paul de ce qu'il a dû faire cela = Paul se réconforte auprès de Marie de ce qu'il a dû faire cela";"L'objet N1 dénotant une personne peut devenir le sujet d'une phrase avec un verbe pronominal, un objet de la forme de ce que P, qui est soit N0 soit N2, et un complément supplémentaire de la forme auprès de N3, dénotant une personne ; la phrase implique une communication verbale entre les deux personnes ; le pronom préverbal réfléchi est à l'accusatif"
"N1 se V de ce Qu P";"binary";"N1 se V de ce Qu P";;", 4, 11, 13";"An object N1 can become the subject of a sentence with a pronominal verb and object of the form de ce que P, which is either N0 or N2; the sentence may imply that N1 denotes a person which communicates verbally with another person, or not; the reflexive clitic is in the accusative; the sentence is not the result of the clitic pronominalization of an object N1 coreferent to N0";"Que Max dorme choque Marie = Marie se choque de ce que Max dort ; Que Marie dorme exacerbe l'ire de Max = L'ire de Max s'exacerbe de ce que Marie dort ; Quelque chose console Luc de ce qu'il n'a pas été élu = Luc se console de ce qu'il n'a pas été élu";"L'objet N1 peut devenir le sujet d'une phrase avec un verbe pronominal et un objet de la forme de ce que P, qui est soit N0 soit N2 ; la phrase peut impliquer que N1 dénote une personne qui communique verbalement avec une autre, ou non ; le pronom préverbal réfléchi est à l'accusatif ; la phrase n'est pas le résultat de la pronominalisation de l'objet N1 coréférent à N0"
"N1 se V en N2 (statique)";"binary";"N1 se V en N2";;", 38PL";"An object N1 can become the subject of a sentence with a pronominal verb and an object of the form en N2; the reflexive clitic is in the accusative; the sentence is not the result of the clitic pronominalization of an object N1 coreferent to N0; the sentence does not imply the existence of a human agent; the sentence denotes a stative situation";"On divise le terrain en trois zones = Le terrain se divise en trois zones (as opposed to: Le choc casse le caillou en trois morceaux = Le caillou se casse en trois morceaux)";"L'objet N1 peut devenir le sujet d'une phrase avec un verbe pronominal et l'objet en N2 ; le pronom préverbal réfléchi est à l'accusatif ; la phrase n'est pas le résultat de la pronominalisation de l'objet N1 coréférent à N0 ; la phrase n'implique pas l'existence d'un agent humain; la phrase dénote une situation statique"
"N1 V";"binary";"N1 V";;", 32A, 32C, 32CL, 32CV, 32H, 32NM, 32R1, 32R2, 32RA, 34L0, 37E, 38LS, ";"An object N1 can become the subject of a sentence with no other objects";"Paul chauffe la soupe = La soupe chauffe ; Luc gonfle le ballon d'air = Le ballon gonfle (E+*d'air)";"L'objet N1 peut devenir le sujet d'une phrase sans autres objets"
"N1 V avec N2";"binary";;;", 36S";"An object N1 can become the subject of a sentence with an object avec N2";"Le juge a divorcé Ida d'avec Luc = Ida a divorcé avec Luc";"L'objet N1 peut devenir le sujet d'une phrase avec l'objet avec N2"
"N1 V de ce Qu Pind";"binary";"N0 V de ce Qu P";" ";", 5";"An object N1 can become the subject of a sentence while the subject, which takes the form of a sentential subject, becomes an object of the form de ce que Pind, in the indicative mood";"Que Paul est vainqueur retentit dans toute la ville = Toute la ville retentit de ce que Paul est vainqueur";"L'objet N1 peut devenir le sujet d'une phrase alors que le sujet, qui prend la forme d'une complétive, devient un objet de la forme de ce que Pind, à l'indicatif"
"N1 V de N0";"binary";;;;"A locative object N1, with a scenic interpretation, can become the subject of a sentence, while the subject becomes an object introduced by the preposition de ; some changes in determiners may take place";"Les abeilles grouillent dans le jardin = Le jardin grouille d'abeilles";"Un objet locatif N1, avec une interprétation scénique, peut devenir le sujet d'une phrase alors que le sujet devient un objet introduit par la préposition de ; des changements de déterminants peuvent se produire"
"N1 V de N0 source";"binary";"N1 V de N0 source";;", 38L0";"An object N1 can become the subject of a sentence while the locative subject, which is interpreted as a source, becomes an object introduced by the preposition de";"La lampe irradie une lumière douce = Une lumière douce irradie de la lampe";"L'objet N1 peut devenir le sujet d'une phrase alors que le sujet locatif, interprété comme un lieu source, devient un objet introduit par la préposition de"
"N1 V de N1pc";"binary";"N1 V de N1pc";;", 34L0";"When a locative object, denoting a body part of a person, takes the form Loc N1pc de N1, where N1 denotes the person, a sentence can have N1 as its subject and de N1pc as an object";"Des bruits incongrus glougloutent dans l'intestin de Jean = Jean glougloute de l'intestin";"Quand l'objet locatif dénotant une partie du corps d'une personne prend la forme Loc N1pc de N1, où N1 dénote la personne, une phrase peut avoir N1 comme sujet et de N1pc comme objet"
"N1 V Loc N2";"binary";"N1 V Loc N2";;", 36SL";"An object N1 can become the subject of a sentence with an object Loc N2; the sentence is interpreted either as processive or as a static result";"Max approche la bouteille du verre = La bouteille approche du verre ; Max tient le carton contre la caisse = Le carton tient contre la caisse";"L'objet N1 peut devenir le sujet d'une phrase avec l'objet Loc N2 ; la phrase est interprétée soit comme processive, soit comme un résultat statique"
"N1 V N2";"binary";"N1 V N2";;", 36S, 36SL";"An object N1 can become the subject of a sentence with a direct object N2; the sentence is interpreted as processive";"Je cogne mon verre contre le tien = Mon verre cogne le tien";"L'objet N1 peut devenir le sujet d'une phrase avec l'objet direct N2 ; la phrase est interprétée comme processive"
"N1 V Prép N0";"binary";;;;"A locative object N1, with a scenic interpretation, can become the subject of a sentence, while the subject becomes an object introduced by a preposition; some changes in determiners may take place";"Les abeilles grouillent dans le jardin = Le jardin grouille d'abeilles ; Les pins abondent dans la forêt = La forêt abonde en pins";"Un objet locatif N1, avec une interprétation scénique, peut devenir le sujet d'une phrase alors que le sujet devient un objet introduit par une préposition ; des changements de déterminants peuvent se produire"
"N1 V Prép N0 = N0 être V-n";"binary";"N1 V Prép N0 = N0 être V-n";;", 34L0";"Sentence with noun-centered argument structure, with the same subject, the verb être, and a deverbal noun related with V; the distribution of N0 in the sentence is a subset of its distribution in N1 V Prép N0";"Le salon froufroute du bruit des soieries = Le bruit des soieries est un froufrou (cf. Les soieries froufroutent dans le salon = Le salon froufroute de soieries, *Les soieries sont un froufrou)";"Phrase à prédicat nominal avec le même sujet, le verbe être, et un nom déverbal lié à V ; la distribution de N0 dans la phrase est un sous-ensemble de sa distribution dans N1 V Prép N0"
