"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"985";"~";"~";"<E>";"-";"-";"traiter";"-";"+";"-";"commande";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a traité cette commande"
"986";"~";"~";"<E>";"-";"-";"traiter";"-";"+";"-";"question";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max traite cette question"
"987";"~";"~";"<E>";"-";"-";"transferrer";"-";"+";"-";"sentiment";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max transferre son sentiment sur son analyste"
"988";"~";"~";"<E>";"-";"-";"transformer";"-";"+";"-";"penalty";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'arrière a transformé le penalty"
"989";"+";"-";"<E>";"-";"-";"transgresser";"-";"+";"-";"loi";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a transgressé cette loi"
"990";"~";"~";"<E>";"-";"-";"transmettre";"-";"+";"-";"émission";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La télé transmet l'émission dans le réseau"
"991";"~";"~";"<E>";"-";"-";"transmettre";"-";"+";"-";"onde";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'air transmet les ondes"
"992";"~";"~";"<E>";"-";"-";"transmettre";"-";"+";"-";"électricité";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les métaux transmettent l'électricité"
"993";"+";"-";"<E>";"-";"-";"travailler";"-";"+";"-";"balle";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max travaille la balle"
"994";"~";"~";"<E>";"-";"-";"travailler";"-";"+";"-";"texte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max travaille son texte"
"995";"+";"-";"<E>";"-";"-";"travailler";"-";"+";"-";"discipline";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max travaille (cette discipline+une matière+la philosophie)"
"996";"+";"-";"<E>";"-";"-";"travailler";"-";"+";"-";"l'opinion publique";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"La presse travaille (l'opinion publique+les esprits)"
"997";"~";"~";"<E>";"-";"-";"tremper";"-";"+";"-";"linge";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida trempe son linge"
"998";"+";"-";"<E>";"-";"-";"tripler";"-";"+";"-";"classe";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a triplé cette classe"
"999";"~";"~";"<E>";"-";"-";"trisser";"-";"+";"-";"numéro";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'acteur a trissé son numéro"
"1000";"~";"~";"<E>";"-";"-";"tromper";"-";"+";"-";"confiance";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a trompé la confiance de Luc"
"1001";"~";"~";"<E>";"-";"-";"trompeter";"-";"+";"-";"air";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max trompète un air de musique"
"1002";"~";"~";"<E>";"-";"-";"tropicaliser";"-";"+";"-";"appareil";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a tropicaliser cet appareil"
"1003";"~";"~";"<E>";"-";"-";"trousser";"-";"+";"-";"jupe";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida trousse ses jupes"
"1004";"~";"~";"<E>";"-";"-";"trouver";"-";"+";"-";"solution";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max trouve la solution"
"1005";"~";"~";"<E>";"-";"-";"vaincre";"-";"+";"-";"difficulté";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida a vaincu cette difficulté"
"1006";"~";"~";"<E>";"-";"-";"vaincre";"-";"+";"-";"montagne";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a vaincu la montagne"
"1007";"~";"~";"<E>";"-";"-";"vaincre";"-";"+";"-";"sentiment";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a vaincu son sentiment de peur"
"1008";"~";"~";"<E>";"-";"-";"vaincre";"-";"+";"-";"penchant";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a vaincu son penchant à la paresse"
"1009";"~";"~";"<E>";"-";"-";"vanner";"-";"+";"-";"grain";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le fermier a vanné le grain"
"1010";"~";"~";"<E>";"-";"-";"verrouiller";"-";"+";"-";"accès";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a verrouillé l'accès à cette profession"
"1011";"~";"~";"<E>";"-";"-";"vicier";"-";"+";"-";"document";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a vicié ce document par une erreur"
"1012";"+";"-";"<E>";"-";"-";"violer";"-";"+";"-";"loi";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a violé la loi"
"1013";"~";"~";"<E>";"-";"-";"violer";"-";"+";"-";"coffre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a violé ce coffre"
"1014";"~";"~";"<E>";"-";"-";"visionner";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a  visionné le film"
"1015";"~";"~";"<E>";"-";"-";"visiter";"-";"+";"-";"maison";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les voleurs ont visité 3 maisons"
"1016";"~";"~";"<E>";"-";"-";"visiter";"-";"+";"-";"site";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a visité ce site"
"1017";"~";"~";"<E>";"-";"-";"visiter";"-";"+";"-";"appartement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a visité trois appartements à louer"
"1018";"~";"~";"<E>";"-";"-";"vivre";"-";"+";"-";"période";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a vécu une période difficile"
"1019";"~";"~";"<E>";"-";"-";"vocaliser";"-";"+";"-";"phonème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On peut vocaliser ce phonème"
"1020";"~";"~";"<E>";"-";"-";"voiler";"-";"+";"-";"roue";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le choc a voilé la roue"
"1021";"~";"~";"<E>";"-";"-";"voiler";"-";"+";"-";"bateau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les marins voilent le bateau"
"1022";"~";"~";"<E>";"-";"-";"voir";"-";"+";"-";"période";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a vu cette période"
"1023";"~";"~";"<E>";"-";"-";"voir";"-";"+";"-";"spectacle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a vu un spectacle"
"1024";"~";"~";"<E>";"-";"-";"voiser";"-";"+";"-";"consonne";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On voise cette consonne"
"1025";"~";"~";"<E>";"-";"-";"volleyer";"-";"+";"-";"balle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max volleye la balle"
"1026";"~";"~";"<E>";"-";"-";"xérographier";"-";"+";"-";"document";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a xérographié ce document"
"1027";"~";"~";"<E>";"-";"-";"xéroxer";"-";"+";"-";"document";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a xéroxé ce document"

